#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A1882E
#Date Time: 2016-10-22 18:43::04.705

Frequency (Hz),Channel 2 (dB),Channel 2 (deg)
1000,-51.039482739526512,56.296296020470784
1046.0921843687374,-51.313238429687381,1.6784859156943526
1092.1843687374749,-52.435666242726732,-51.545939218530208
1138.2765531062125,-54.812954153123336,-106.96296920776321
1184.36873747495,-59.358562070715998,-163.58336336211653
1230.4609218436874,-70.231233213075654,144.29472923429552
1276.5531062124248,-67.963879098878024,-84.796764907906422
1322.6452905811623,-59.229352986668971,-147.13212299351363
1368.7374749498997,-55.095225830022088,153.73599570519855
1414.8296593186374,-52.541211202423945,98.268578233737301
1460.9218436873748,-51.272268446018664,42.094938229083638
1507.0140280561122,-50.885909821500505,-11.911965629199443
1553.1062124248497,-51.42195214886214,-65.579209930276562
1599.1983967935871,-52.774152265804666,-121.82863151795286
1645.2905811623245,-55.371123451811819,-177.00486301572232
1691.3827655310622,-60.570065348374612,124.02220570760124
1737.4749498997996,-73.999594686046521,57.202570585620037
1783.5671342685371,-65.702375344063626,-160.64932367768253
1829.6593186372745,-57.937776143935245,139.0157348517383
1875.7515030060119,-54.396428481211863,81.970595103591037
1921.8436873747496,-52.082457521037561,27.786395888560492
1967.935871743487,-51.205585520936062,-26.306958521002258
2014.0280561122245,-51.039736825313952,-80.611505937793908
2060.1202404809619,-51.815683756459613,-135.1052346881032
2106.2124248496993,-53.562707825383342,167.99716308072655
2152.3046092184368,-56.523905928516655,110.99016727734956
2198.3967935871742,-62.018223269640202,50.805978674732671
2244.4889779559117,-81.864761487480891,-57.44892639902524
2290.5811623246491,-63.324650502679027,125.01200838708232
2336.673346693387,-56.481959156719782,67.589101661206129
2382.7655310621244,-53.284603265145911,14.537294303347728
2428.8577154308618,-51.6699892771721,-40.58945190302137
2474.9498997995993,-51.007143781073388,-94.798660544377654
2521.0420841683367,-51.285250195645609,-150.76598613151654
2567.1342685370741,-52.386825596667968,152.75967729846337
2613.2264529058116,-54.164038713330271,96.678030298586179
2659.318637274549,-57.52780336349025,38.868292942034735
2705.4108216432865,-64.732746502626938,-14.223535138753647
2751.5030060120239,-74.94463045364239,116.86838830975475
2797.5951903807613,-59.683901650366934,51.642565025487471
2843.6873747494992,-54.742932352302191,-0.85146609211157909
2889.7795591182366,-52.569310654708531,-54.36374767099695
2935.8717434869741,-51.414446029438949,-108.63547319900196
2981.9639278557115,-51.16681517209252,-164.39152294647303
3028.056112224449,-51.722674869460796,139.35113096553266
3074.1482965931864,-52.964927708218354,82.429881747957012
3120.2404809619238,-55.138497703789248,25.441834415472385
3166.3326653306613,-59.323893352555118,-28.841937933107381
3212.4248496993987,-71.049906446012116,-74.373063447711019
3258.5170340681361,-64.418636530651213,36.508845475665176
